Anodizado
Fecha: 10-Jan-2014 15:43:56
Tension	Corriente
1.313333e+001	2.372020e-003
1.320000e+001	2.372760e-003
1.326667e+001	2.374190e-003
1.333333e+001	2.376750e-003
1.340000e+001	2.378910e-003
1.346667e+001	2.380190e-003
1.353333e+001	2.379190e-003
1.360000e+001	2.376210e-003
1.366667e+001	2.374610e-003
1.373333e+001	2.372280e-003
1.380000e+001	2.369250e-003
1.386667e+001	2.366490e-003
1.393333e+001	2.355260e-003
1.400000e+001	2.351110e-003
1.406667e+001	2.346840e-003
1.413333e+001	2.343870e-003
1.420000e+001	2.342640e-003
1.426667e+001	2.342670e-003
1.433333e+001	2.343590e-003
1.440000e+001	2.342340e-003
1.446667e+001	2.338370e-003
1.453333e+001	2.331680e-003
1.460000e+001	2.325930e-003
1.466667e+001	2.324500e-003
1.473333e+001	2.324140e-003
1.480000e+001	2.315760e-003
1.486667e+001	2.310500e-003
1.493333e+001	2.303090e-003
1.500000e+001	2.293500e-003
1.506667e+001	2.284860e-003
1.513333e+001	2.278120e-003
1.520000e+001	2.272420e-003
1.526667e+001	2.267750e-003
1.533333e+001	2.262410e-003
1.540000e+001	2.256590e-003
1.546667e+001	2.248330e-003
1.553333e+001	2.239910e-003
1.560000e+001	2.233450e-003
1.566667e+001	2.222950e-003
1.573333e+001	2.219870e-003
1.580000e+001	2.216360e-003
1.586667e+001	2.210340e-003
1.593333e+001	2.202860e-003
1.600000e+001	2.194850e-003
1.606667e+001	2.189060e-003
1.613333e+001	2.184920e-003
1.620000e+001	2.180910e-003
1.626667e+001	2.175020e-003
1.633333e+001	2.167010e-003
1.640000e+001	2.155550e-003
1.646667e+001	2.143180e-003
1.653333e+001	2.120840e-003
1.660000e+001	2.111740e-003
1.666667e+001	2.104390e-003
1.673333e+001	2.098950e-003
1.680000e+001	2.093120e-003
1.686667e+001	2.085640e-003
1.693333e+001	2.077360e-003
1.700000e+001	2.068340e-003
1.706667e+001	2.061870e-003
1.713333e+001	2.055610e-003
1.720000e+001	2.048220e-003
1.726667e+001	2.040430e-003
1.733333e+001	2.031510e-003
1.740000e+001	2.014410e-003
1.746667e+001	2.003820e-003
1.753333e+001	1.994600e-003
1.760000e+001	1.985620e-003
1.766667e+001	1.977760e-003
1.773333e+001	1.969530e-003
1.780000e+001	1.960510e-003
1.786667e+001	1.951620e-003
1.793333e+001	1.941020e-003
1.800000e+001	1.931110e-003
1.806667e+001	1.922640e-003
1.813333e+001	1.914760e-003
1.820000e+001	1.908810e-003
1.826667e+001	1.895440e-003
1.833333e+001	1.886950e-003
1.840000e+001	1.877400e-003
1.846667e+001	1.867110e-003
1.853333e+001	1.858140e-003
1.860000e+001	1.848950e-003
1.866667e+001	1.840700e-003
1.873333e+001	1.832210e-003
1.880000e+001	1.823070e-003
1.886667e+001	1.813470e-003
1.893333e+001	1.802830e-003
1.900000e+001	1.791530e-003
1.906667e+001	1.780690e-003
1.913333e+001	1.763210e-003
1.920000e+001	1.754240e-003
1.926667e+001	1.744880e-003
1.933333e+001	1.735210e-003
1.940000e+001	1.725130e-003
1.946667e+001	1.714870e-003
1.953333e+001	1.706010e-003
1.960000e+001	1.696840e-003
1.966667e+001	1.687860e-003
1.973333e+001	1.679410e-003
1.980000e+001	1.671060e-003
1.986667e+001	1.661960e-003
1.993333e+001	1.650850e-003
2.000000e+001	1.635610e-003
2.006667e+001	1.625250e-003
2.013333e+001	1.616600e-003
2.020000e+001	1.608090e-003
2.026667e+001	1.600120e-003
2.033333e+001	1.591460e-003
2.040000e+001	1.581490e-003
2.046667e+001	1.571830e-003
2.053333e+001	1.562790e-003
2.060000e+001	1.554470e-003
2.066667e+001	1.546940e-003
2.073333e+001	1.538770e-003
2.080000e+001	1.530100e-003
2.086667e+001	1.513770e-003
2.093333e+001	1.504510e-003
2.100000e+001	1.496300e-003
2.106667e+001	1.488300e-003
2.113333e+001	1.480220e-003
2.120000e+001	1.472460e-003
2.126667e+001	1.463120e-003
2.133333e+001	1.452790e-003
2.140000e+001	1.442750e-003
2.146667e+001	1.433540e-003
2.153333e+001	1.424590e-003
2.160000e+001	1.416090e-003
2.166667e+001	1.407610e-003
2.173333e+001	1.392070e-003
2.180000e+001	1.382680e-003
2.186667e+001	1.374080e-003
2.193333e+001	1.366790e-003
2.200000e+001	1.358890e-003
2.206667e+001	1.353210e-003
2.213333e+001	1.345220e-003
2.220000e+001	1.336210e-003
2.226667e+001	1.326060e-003
